name,address,street,street_number,postal_code,city,phone,website,rating,latitude,longitude,type
Delikatesy MDS,"11 listopada 10A, Radom 26-610",11 listopada,10A,26-610,Radom,483646932,,3.6,51.4142,21.1564,grocery_or_supermarket
Sklep HAPPI,"11 listopada 16, Radom 26-609",11 listopada,16,26-609,Radom,,,5,51.414,21.1579,grocery_or_supermarket
Sklep spożywczy,"11 listopada 16, Radom 26-609",11 listopada,16,26-609,Radom,,,0,51.4141,21.1577,grocery_or_supermarket
"Sklep spożywczy ""Piotruś""","11 listopada 45326, Radom 26-600",11 listopada,2/4,26-600,Radom,889481480,,3.6,51.4137,21.1549,grocery_or_supermarket
Małe Delikatesy,"Stanisława Zbrowskiego 112, Radom 26-600",Stanisława Zbrowskiego,112,26-600,Radom,,,4.7,51.4157,21.1777,grocery_or_supermarket
MediLeaf Natural,"1905 Roku 21/111, Radom 26-600",1905 Roku,21/111,26-600,Radom,730330381,,5,51.3897,21.1398,grocery_or_supermarket
Dietetyk Medycyny Naturalnej Radosław Tarkowski / dietetyk kliniczny Radom,"1905 Roku 21/111, Radom 26-600",1905 Roku,21/111,26-600,Radom,730330381,,5,51.3903,21.1394,grocery_or_supermarket
Stacja Paliw ORLEN,"1905 Roku 24, Radom 26-612",1905 Roku,24,26-612,Radom,242564241,,4.5,51.3915,21.1422,grocery_or_supermarket
Logis Przedsiębiorstwo Handlowo Usługowe,"1905 Roku 3, Radom 26-600",1905 Roku,3,26-600,Radom,,,4.5,51.3909,21.1436,grocery_or_supermarket
Gajmas. Sklep firmowy mięsno - spożywczy,"1905 Roku 60, Radom 26-616",1905 Roku,60,26-616,Radom,483315838,,1,51.3902,21.1328,grocery_or_supermarket
Her-Mir. PPHU. Sklep firmowy,"25 czerwca 26/32, Radom 26-610",25 czerwca,26/32,26-610,Radom,483622228,,1,51.3963,21.1609,grocery_or_supermarket
Enoteka Verona,"25 czerwca 36, Radom 26-600",25 czerwca,36,26-600,Radom,730693431,,4.7,51.3969,21.1613,grocery_or_supermarket
Jarosz Marianna. Handel detaliczny,"25 czerwca 59, Radom 26-610",25 czerwca,59,26-610,Radom,483316844,,5,51.4022,21.1632,grocery_or_supermarket
Her-Mir. PPHU. Sklep spożywczo - monopolowy. Hernik M.,"25 czerwca 85, Radom 26-610",25 czerwca,85,26-610,Radom,483446286,,3.6,51.4066,21.1657,grocery_or_supermarket
Katarzynka Art. Spożywcze Monopolowe," , Radom 26-604",,,26-604,Radom,,,5,51.3932,21.1737,grocery_or_supermarket
Fajny Sklep," , Radom 26-610",,,26-610,Radom,,,4.5,51.4056,21.1318,grocery_or_supermarket
Delikatesy," , Radom 26-610",,,26-610,Radom,,,4.9,51.396,21.1349,grocery_or_supermarket
Groszek," , Radom 26-613",,,26-613,Radom,733774134,,4.9,51.4174,21.2079,grocery_or_supermarket
