,,OFERTA HANDLOWA SELIGA,,,,,,
,,,,,,,,
,,,,,,,,
,,06.11.2024 – 09.12.2024,,,,,,
,,,,,,,,
LP,,NAZWA,ILOŚĆ ZAMÓWIONA,JM,KRAJ,VAT,Cena netto,Cena Brutto
1,139.0001(1),ANANAS MIODOWY OP 6 SZT CR,,szt.,KOSTARYKA,5%,15.05,15.81
2,11.0002(2),ANANAS OP 10 SZT CR,,szt.,KOSTARYKA,5%,6.20,6.51
3,37196,ARBUZ VITA KALIBER 4 SZTUKI KG BR,,KG,BRAZYLIA,5%,7.50,7.88
4,39022,AVOKADO HASS OP 16 SZT PE,,szt.,PERU,5%,6.80,7.14
5,12.0021(2),AVOKADO ZIELONE OP 16 SZT IL,,szt.,IZRAEL,5%,5.05,5.31
6,39783,AVOKADO ZIELONE OP 22 SZT IL,,szt.,IZRAEL,5%,3.10,3.26
7,43435,BAKŁAŻAN GODOY KARTON OP 5 KG ES ,,KG,HISZPANIA ,5%,10.75,11.29
8,40148,BANAN AMIGO OP 18 KG EC,,KG,EKWADOR,5%,5.05,5.31
9,14.0001,BANAN GINA OP 18 KG EC,,KG,EKWADOR,5%,5.60,5.88
10,14.0004(1),BAZYLIA DONICZKA SZT PL,,szt.,POLSKA,8%,7.65,8.27
11,14.0003(2)(1),BOCZNIAK TACKA 250 G SZT PL,,szt.,POLSKA,5%,5.25,5.52
12,15.0002,BORÓWKA 125 G EAT ME OP 12 SZT PE,,szt.,PERU,5%,5.70,5.99
13,02.0018(1)(1),BROKUŁ FOLIA CZARNY KARTON OP 10 SZT PL,,szt.,POLSKA,5%,4.60,4.83
14,116.0001,BRUKSELKA OP 5 KG PL,,KG,POLSKA,5%,7.20,7.56
15,116.0002,BURAK GOTOWANY WITAMINA PL,,szt.,POLSKA,5%,3.70,3.89
16,116.0003,BURAK MYTY OP PRÓŻNIOWE KG PL,,KG,POLSKA,5%,2.90,3.05
17,106.0013,BURAK DŁUGI OP 10 KG PL,,KG,POLSKA,5%,1.45,1.53
18,106.0001,BURAK OKRĄGŁY OP 10 KG PL,,KG,POLSKA,5%,1.30,1.37
19,19.0004,CEBULA CUKROWA OP 10 KG PL,,KG,POLSKA,5%,3.65,3.84
20,45.0001,CEBULA CZERWONA OP 5 KG PL,,KG,POLSKA,5%,3.65,3.84
21,20.0003(1)(1)(2),CEBULA CZOSNKOWA OP 10 KG IT,,KG,WŁOCHY,5%,4.20,4.41
22,21.0001(1),CEBULA MŁODA OP 5 KG PL,,KG,POLSKA,5%,3.65,3.84
23,23.0004(2)(1),CEBULA SZYTY WOREK OP 15 KG NL,,KG,HOLANDIA,5%,2.15,2.26
24,23.0002,CEBULA WIĄZANA II OP 15 KG PL,,KG,POLSKA,5%,2.00,2.10
25,24.0001,CHRZAN OP 5 KG PL,,KG,POLSKA,5%,18.05,18.96
26,25.0018(1)(1),CIECIERZYCA KG PL,,KG,POLSKA,5%,9.60,10.08
27,25.0018(1),CUKINIA ZIELONA LA NECA KARTON OP 5 KG ES,,KG,HISZPANIA,5%,8.50,8.93
28,,CYKORIA CZERWONA OP 12 SZT PL,,SZT,POLSKA,5%,7.65,8.04
29,,CYKORIA ZIELONA OP 10 SZT PL,,SZT,POLSKA,5%,9.15,9.61
30,,CYPRYSIK JASNY DONICZKA USA,,szt.,AMERYKA ,5%,13.90,14.60
31,,CYPRYSIK OZDOBNY DONICZKA USA,,szt.,AMERYKA ,5%,17.55,18.43
32,,CYPRYSIK OZDOBNY JASNY DONICZKA USA,,szt.,AMERYKA ,5%,23.35,24.52
33,,CYTRYNA AKAN I PLASTIK KG TR,,KG,TURCJA,5%,5.40,5.67
34,,CYTRYNA GRACIA I OP 10 KG ES,,KG,HISZPANIA,5%,6.85,7.20
35,,CYTRYNA CRUCE I OP 10 KG ES,,KG,HISZPANIA,5%,8.45,8.88
36,25.0041(3),CZOSNEK 1 KG CN,,KG,CHINY,5%,18.00,18.90
37,25.0041,CZOSNEK MYTY OP.PRÓŻNIOWE 1 KG ES,,KG,HISZPANIA,5%,30.90,32.45
38,121.0002(1)(1)(3),CZOSNEK WARKOCZ I 25 SZT PL,,szt.,POLSKA,5%,56.70,59.54
39,121.0002(1)(1)(1),CZOSNEK WARKOCZ I 20 SZT PL,,szt.,POLSKA,5%,54.00,56.70
40,26.0003,DYNIA HOKAIDO KG PL,,KG,POLSKA,5%,3.65,3.84
41,26.0011(2),DYNIA MUSKAT KG PL,,KG,POLSKA,5%,2.40,2.52
42,26.0011,DYNIA PIŻMOWA KG PL,,KG,POLSKA,5%,3.00,3.15
43,26.0004(1),FASOLKA SZPARAGOWA ZIELONA 500G MA,,SZT,MAROKO,5%,10.60,11.13
44,26.0011(1)(1),FISALIS / MIECHUNKA SZT CO,,SZT,KOLUMBIA,5%,4.80,5.04
45,26.0011(1),GRANADILLA SZT WN,,SZT,WIETNAM,5%,7.95,8.35
46,26.0005,GRANATY OP 12 SZT TR,,szt.,TURCJA ,5%,3.00,3.15
47,26.0007(1),GRAPEFRUIT CZERWONY DECO I KG TR,,KG,TURCJA,5%,7.00,7.35
48,27.0015,GRAPEFRUIT CZERWONY MARSEKG TR do wyczerpania,,KG,TURCJA,5%,5.40,5.67
49,27.0015(3),GRAPEFRUIT ZIELONY JAFFA I KG IL,,kg,IZRAEL ,5%,8.00,8.40
50,27.0006(3),GROSZEK CUKROWY 250 G SZT IT,,SZT,WŁOCHY,5%,9.55,10.03
51,27.0020,GROSZEK CZEPNY DONICZKA SZT PL,,szt.,POLSKA,5%,7.25,7.62
52,27.0006,GRUSZKA KONFERENCJA I OP 12 KG NL,,KG,HOLANDIA,5%,7.50,7.88
53,27.0012,GRUSZKA KONFERENCJA I OP 20 KG NL,,KG,HOLANDIA,5%,6.30,6.62
54,121.0003(2),GRUSZKA LUKASÓWKA I OP 20 KG PL,,KG,POLSKA,5%,5.20,5.46
55,28.0001(2),GRUSZKA LUKASÓWKA II OP 20 KG PL do wyczerpania,,KG,POLSKA,5%,4.05,4.26
56,121.0001(4),GRUSZKA SUSZONA ĆWIARTKA OP 5 KG PL,,KG,POLSKA,5%,22.70,23.84
57,121.0096,GRUSZKA SUSZONA PLASTER OP 5 KG PL,,KG,POLSKA,5%,21.45,22.53
58,121.0097,GRZYBY SHIMEJI 150 G CN,,SZT,CHINY,5%,4.15,4.36
59,121.0001(6),IMBIR KG BR,,KG,BRAZYLIA ,8%,17.10,18.47
60,121.0002(3)(1),JABŁKA ALWA I OP 15 KG PL,,KG,POLSKA,5%,2.80,2.94
61,121.0097(2),JABŁKA BOSKOP I OP 15 KG PL,,KG,POLSKA,5%,4.00,4.20
62,121.0003,JABŁKA CHAMPION II OP 15 KG PL,,KG,POLSKA,5%,2.40,2.52
63,29.0002,JABŁKA CHAMPION KARTON I OP 14 KG PL,,KG,POLSKA,5%,2.70,2.84
64,29.0003,JABŁKA EMPIRE I OP 15 KG PL,,KG,POLSKA,5%,3.00,3.15
65,30.0001,JABŁKA KORTLAND I OP 15 KG PL,,KG,POLSKA,5%,3.65,3.84
66,30.0002,JABŁKA KORTLAND KARTON I OP 14 KG PL,,KG,POLSKA,5%,3.95,4.15
67,42156,JABŁKA LIGOL I OP 15 KG PL,,KG,POLSKA,5%,3.25,3.42
68,86.0001(1)(1),JABŁKA LIGOL KARTON I OP 14 KG PL,,KG,POLSKA,5%,3.65,3.84
69,33.0001,JABŁKA LOBO I OP 15 KG PL,,KG,POLSKA,5%,3.65,3.84
70,CZOSNEK20,JABŁKA LOBO KARTON I OP 14 KG PL,,KG,POLSKA,5%,3.95,4.15
71,33.0015,JABŁKA PRINCE II OP 15 KG PL,,KG,POLSKA,5%,2.65,2.79
72,121.0004(1),JABŁKA PRINCE KARTON I OP 14 KG PL,,KG,POLSKA,5%,3.45,3.63
73,33.0016,JABŁKO SUSZONE OP 5 KG PL,,KG,POLSKA,5%,21.45,22.53
74,33.0007(1)(2) ,JABŁKO ZIELONE I SZT IT,,szt.,WŁOCHY,5%,2.40,2.52
75,33.0007(1)(2) (1),JAJKA OD MŁODYCH KUR WRZOSEK PL,,SZT,POLSKA,5%,8.45,8.88
76,121.0005(3),JAJKA OWSIANE WRZOSEK PL,,SZT,POLSKA,5%,11.45,12.03
77,121.0098,JAJKA PACZKOWANE L KABAD PL,,SZT,POLSKA,5%,10.35,10.87
78,121.0005(1),JAJKA WOLNY WYBIEG L Z ORONSKA  PL,,SZT,POLSKA,5%,10.10,10.61
79,74.0003,JAJKA ZIELONA NÓŻKA WRZOSEK PL,,SZT,POLSKA,5%,12.60,13.23
80,35.0001(2),JARMUŻ WIĄZKA SZT PL,,szt.,POLSKA,5%,5.45,5.73
