,,OFERTA HANDLOWA SELIGA,,,,,,
,,,,,,,,
,,,,,,,,
,,10.11.2024 – 12.12.2024,,,,,,
,,,,,,,,
LP,,NAZWA,ILOŚĆ ZAMÓWIONA,JM,KRAJ,VAT,Cena netto,Cena Brutto
1,139.0001(1),ANANAS MIODOWY OP 6 SZT CR,,szt.,KOSTARYKA,5%,"16,05","16,86"
2,11.0002(2),ANANAS OP 10 SZT CR,,szt.,KOSTARYKA,5%,"6,05","6,36"
3,37196,ARBUZ VITA KALIBER 4 SZTUKI KG BR,,KG,BRAZYLIA,5%,"6,20","6,51"
4,39022,AVOKADO HASS OP 16 SZT PE,,szt.,PERU,5%,"6,80","7,14"
5,12.0021(2),AVOKADO ZIELONE OP 16 SZT IL,,szt.,IZRAEL,5%,"3,80","3,99"
6,39783,AVOKADO ZIELONE OP 22 SZT IL,,szt.,IZRAEL,5%,"3,10","3,26"
7,43435,BAKŁAŻAN LOMA PLUS KARTON OP 5 KG ES ,,KG,HISZPANIA ,5%,"10,80","11,34"
8,40148,BANAN GINA OP 18 KG EC,,KG,EKWADOR,5%,"5,70","5,99"
9,14.0001,BANAN HOLA BANANA OP 18 KG CO,,KG,KOLUMBIA,5%,"5,00","5,25"
10,14.0004(1),BAZYLIA DONICZKA SZT PL,,szt.,POLSKA,8%,"7,65","8,27"
11,14.0003(2)(1),BOCZNIAK TACKA 250 G SZT PL,,szt.,POLSKA,5%,"5,25","5,52"
12,15.0002,BORÓWKA 125 G EAT ME OP 12 SZT PE,,szt.,PERU,5%,"5,20","5,46"
13,02.0018(1)(1),BROKUŁ FOLIA CZARNY KARTON OP 10 SZT PL,,szt.,POLSKA,5%,"4,75","4,99"
14,116.0001,BRUKSELKA OP 5 KG PL,,KG,POLSKA,5%,"7,40","7,77"
15,116.0002,BURAK GOTOWANY WITAMINA PL,,szt.,POLSKA,5%,"3,70","3,89"
16,116.0003,BURAK DŁUGI OP 10 KG PL,,KG,POLSKA,5%,"1,60","1,68"
17,106.0013,BURAK OKRĄGŁY OP 10 KG PL,,KG,POLSKA,5%,"1,35","1,42"
18,106.0001,CEBULA CUKROWA OP 10 KG PL,,KG,POLSKA,5%,"4,20","4,41"
19,19.0004,CEBULA CZERWONA OP 5 KG PL,,KG,POLSKA,5%,"3,65","3,84"
20,45.0001,CEBULA CZOSNKOWA OP 10 KG IT,,KG,WŁOCHY,5%,"4,20","4,41"
21,20.0003(1)(1)(2),CEBULA MŁODA OP 5 KG PL,,KG,POLSKA,5%,"4,10","4,31"
22,21.0001(1),CEBULA SZYTY WOREK OP 15 KG NL,,KG,HOLANDIA,5%,"2,15","2,26"
23,23.0004(2)(1),CEBULA WIĄZANA II OP 15 KG PL,,KG,POLSKA,5%,"1,95","2,05"
24,23.0002,CHRZAN OP 5 KG PL,,KG,POLSKA,5%,"18,05","18,96"
25,24.0001,CUKINIA ZIELONA ESCORRYES DREWNO OP 5 KG ES,,KG,HISZPANIA,5%,"8,20","8,61"
26,25.0018(1)(1),CYKORIA CZERWONA OP 12 SZT PL,,SZT,POLSKA,5%,"7,65","8,04"
27,25.0018(1),CYKORIA ZIELONA OP 10 SZT PL,,SZT,POLSKA,5%,"7,90","8,30"
28,,CYPRYSIK JASNY DONICZKA USA,,szt.,AMERYKA ,5%,"13,90","14,60"
29,,CYPRYSIK OZDOBNY JASNY DONICZKA USA,,szt.,AMERYKA ,5%,"23,35","24,52"
30,,CYTRYNA 07 I OP 10 KG ES,,KG,HISZPANIA,5%,"6,65","6,99"
31,,CYTRYNA REYBA I PLASTIK KG TR,,KG,TURCJA,5%,"5,20","5,46"
32,,CZOSNEK 1 KG CN,,KG,CHINY,5%,"16,80","17,64"
33,,CZOSNEK MYTY OP.PRÓŻNIOWE 1 KG ES,,KG,HISZPANIA,5%,"28,85","30,30"
34,,CZOSNEK WARKOCZ I 25 SZT PL,,szt.,POLSKA,5%,"56,70","59,54"
35,,CZOSNEK WARKOCZ HARNAŚ 20 SZT PL,,szt.,POLSKA,5%,"54,00","56,70"
36,25.0041(3),DYNIA HOKAIDO KG PL,,KG,POLSKA,5%,"4,20","4,41"
37,25.0041,DYNIA MUSKAT KG PL,,KG,POLSKA,5%,"2,40","2,52"
38,121.0002(1)(1)(3),DYNIA PIŻMOWA KG PL,,KG,POLSKA,5%,"3,00","3,15"
39,121.0002(1)(1)(1),FASOLKA SZPARAGOWA ZIELONA 500G MA,,SZT,MAROKO,5%,"10,60","11,13"
40,26.0003,FISALIS / MIECHUNKA SZT CO,,SZT,KOLUMBIA,5%,"4,80","5,04"
41,26.0011(2),GRANADILLA SZT WN,,SZT,WIETNAM,5%,"7,95","8,35"
42,26.0011,GRANATY OP 12 SZT TR,,szt.,TURCJA ,5%,"2,90","3,05"
43,26.0004(1),GRAPEFRUIT CZERWONY AKAN I KG TR,,KG,TURCJA,5%,"6,85","7,20"
44,26.0011(1)(1),GRAPEFRUIT CZERWONY MARSEL I KG TR,,KG,TURCJA,5%,"5,00","5,25"
45,26.0011(1),GRAPEFRUIT ZIELONY JAFFA I KG IL,,kg,IZRAEL ,5%,"8,05","8,46"
46,26.0005,GROSZEK CUKROWY 250 G SZT IT,,SZT,WŁOCHY,5%,"9,55","10,03"
47,26.0007(1),GROSZEK CZEPNY DONICZKA SZT PL,,szt.,POLSKA,5%,"8,20","8,61"
48,27.0015,GRUSZKA KONFERENCJA I OP 12 KG NL,,KG,HOLANDIA,5%,"7,40","7,77"
49,27.0015(3),GRUSZKA KONFERENCJA I OP 20 KG NL,,KG,HOLANDIA,5%,"6,30","6,62"
50,27.0006(3),GRUSZKA LUKASÓWKA I OP 20 KG PL,,KG,POLSKA,5%,"5,15","5,41"
51,27.0020,GRUSZKA SUSZONA ĆWIARTKA OP 5 KG PL,,KG,POLSKA,5%,"22,70","23,84"
52,27.0006,GRUSZKA SUSZONA PLASTER OP 5 KG PL,,KG,POLSKA,5%,"21,45","22,53"
53,27.0012,GRUSZKA WĘDZONA KG PL,,KG,POLSKA,5%,"15,15","15,91"
54,121.0003(2),GRZYBY SHIMEJI 150 G CN,,SZT,CHINY,5%,"4,20","4,41"
55,28.0001(2),IMBIR KG BR,,KG,BRAZYLIA ,8%,"17,15","18,53"
56,121.0001(4),JABŁKA ALWA I OP 15 KG PL,,KG,POLSKA,5%,"2,80","2,94"
57,121.0096,JABŁKA BOSKOP I OP 15 KG PL,,KG,POLSKA,5%,"4,00","4,20"
58,121.0097,JABŁKA CHAMPION II OP 15 KG PL,,KG,POLSKA,5%,"2,40","2,52"
59,121.0001(6),JABŁKA EMPIRE I OP 15 KG PL,,KG,POLSKA,5%,"3,00","3,15"
60,121.0002(3)(1),JABŁKA KORTLAND I OP 15 KG PL,,KG,POLSKA,5%,"3,65","3,84"
61,121.0097(2),JABŁKA KORTLAND KARTON I OP 14 KG PL,,KG,POLSKA,5%,"3,95","4,15"
62,121.0003,JABŁKA LIGOL I OP 14 KG PL,,KG,POLSKA,5%,"3,55","3,73"
63,29.0002,JABŁKA LIGOL I OP 15 KG PL,,KG,POLSKA,5%,"3,25","3,42"
64,29.0003,JABŁKA LOBO I OP 15 KG PL,,KG,POLSKA,5%,"3,65","3,84"
65,30.0001,JABŁKA LOBO KARTON I OP 14 KG PL,,KG,POLSKA,5%,"3,95","4,15"
66,30.0002,JABŁKA PRINCE II OP 15 KG PL,,KG,POLSKA,5%,"2,65","2,79"
67,42156,JABŁKA PRINCE KARTON I OP 14 KG PL,,KG,POLSKA,5%,"3,45","3,63"
68,86.0001(1)(1),JABŁKO SUSZONE OP 5 KG PL,,KG,POLSKA,5%,"21,45","22,53"
69,33.0001,JABŁKO ZIELONE I SZT IT,,szt.,WŁOCHY,5%,"2,40","2,52"
70,CZOSNEK20,JAJKA OD MŁODYCH KUR WRZOSEK PL,,SZT,POLSKA,5%,"8,45","8,88"
71,33.0015,JAJKA OWSIANE WRZOSEK PL,,SZT,POLSKA,5%,"11,45","12,03"
72,121.0004(1),JAJKA PACZKOWANE L KABAD PL,,SZT,POLSKA,5%,"10,35","10,87"
73,33.0016,JAJKA WOLNY WYBIEG L Z ORONSKA  PL,,SZT,POLSKA,5%,"10,10","10,61"
74,33.0007(1)(2) ,JAJKA ZIELONA NÓŻKA WRZOSEK PL,,SZT,POLSKA,5%,"12,60","13,23"
75,33.0007(1)(2) (1),JARMUŻ WIĄZKA SZT PL,,szt.,POLSKA,5%,"5,45","5,73"
76,121.0005(3),KAKI OP 16/18SZT ES,,szt.,HISZPANIA,5%,"4,30","4,52"
78,121.0005(1),KALAFIOR DREWNO OP 6 SZT FR,,szt.,FRANCJA,5%,"8,85","9,30"
